well,fit_error_occured,term,estimate,std.error,statistic,p.value,conf.low,conf.high,est_error_occured,mu_type
A_1_Mu_0.2_Lag_4,FALSE,Lag,4.00454198647916,0.04816469689246999,83.14268011318526,4.368346874561903e-89,3.9071808628169307,4.100187334935648,FALSE,other
A_1_Mu_0.2_Lag_4,FALSE,C,0.002716010944967243,0.004100316438603571,0.6623905704927068,0.5093591485288826,-0.005478853616799673,0.010840957289217985,FALSE,other
A_1_Mu_0.2_Lag_6,FALSE,A,1.0000510170150472,0.003019923030132092,331.15116081991823,1.1792477382434996e-144,0.9940707799718299,1.0060515234753733,FALSE,other
A_1_Mu_0.2_Lag_6,FALSE,Mu,0.19945747855203771,0.0024364229946990433,81.86488101039922,1.8093696668044372e-88,0.1947648994988711,0.2043240212480338,FALSE,Mu_a
A_1_Mu_0.2_Lag_6,FALSE,Lag,6.005266696292396,0.03798361193179889,158.10151775652866,7.511547985928998e-115,5.9299648094089745,6.079692883513323,FALSE,other
A_1_Mu_0.2_Lag_6,FALSE,C,5.057006046519112e-4,0.002756050740019552,0.18348740729219074,0.8548150532853885,-0.004975093574711935,0.005967143080196187,FALSE,other
A_1_Mu_0.2_Lag_8,FALSE,A,1.0018190477340376,0.0036461877734001373,274.75794171725363,4.018031981153609e-137,0.994591895832578,1.0090681534422197,FALSE,other
A_1_Mu_0.2_Lag_8,FALSE,Mu,0.19974530566315812,0.00331296759940753,60.291958695545134,2.4103263850247428e-76,0.1933507411979231,NA,FALSE,Mu_a
A_1_Mu_0.2_Lag_8,FALSE,Lag,7.944355638198386,0.05005315137390313,158.71839075332306,5.236261644594902e-115,7.844430580681155,8.042768409023283,FALSE,other
A_1_Mu_0.2_Lag_8,FALSE,C,-7.01387156522017e-5,0.0032293393557098066,-0.021719214962090987,0.982718468040412,-0.006492550219530254,0.006332365615110132,FALSE,other
A_1_Mu_0.2_Lag_10,FALSE,A,1.0021952448690492,0.002820240608205645,355.3580648236562,1.6761898694194602e-147,0.9965937392239295,1.0078076438093206,FALSE,other
A_1_Mu_0.2_Lag_10,FALSE,Mu,0.20028286312985127,0.002807446559907511,71.33986662116533,5.3609280627032195e-83,0.19481391235842554,0.2059850939251824,FALSE,Mu_a
A_1_Mu_0.2_Lag_10,FALSE,Lag,9.996711771267972,0.041359033738796194,241.70564124883586,5.936538938461853e-132,9.913418559404088,10.078910444152221,FALSE,other
A_1_Mu_0.2_Lag_10,FALSE,C,-0.0015847230263213983,0.0024151330465076496,-0.6561638617023408,0.5133388993671578,-0.00639167384269187,0.0032131143477683536,FALSE,other
A_1_Mu_0.3_Lag_2,FALSE,A,1.0034449548231659,0.005183801162880206,193.5731952854525,5.3070083253348646e-123,0.9931700166869606,1.0138657304167076,FALSE,other
A_1_Mu_0.3_Lag_2,FALSE,Mu,0.2948187423994237,0.004441453773470375,66.37888345487924,3.844436983204188e-80,0.28618808181681404,0.30386016534755844,FALSE,Mu_a
A_1_Mu_0.3_Lag_2,FALSE,Lag,1.9632785008240987,0.03580678686763811,54.82978710381004,1.2991767639286883e-72,1.890559552585814,2.0344277803652777,FALSE,other
A_1_Mu_0.3_Lag_2,FALSE,C,-0.004292005532572631,0.005029364139224731,-0.85338929808217,0.3956361291915401,-0.0144047257481558,0.005676104552178842,FALSE,other
A_1_Mu_0.3_Lag_6,FALSE,A,0.9974538768121343,0.003261604307686792,305.8169485677288,1.919569154909432e-141,0.9909889835377903,1.003934948017208,FALSE,other
A_1_Mu_0.3_Lag_6,FALSE,Mu,0.29219644150468754,0.004757206182875712,61.421857761072694,4.4703771086097275e-77,0.28293251270559977,0.3019229530747933,FALSE,Mu_a
A_1_Mu_0.3_Lag_6,FALSE,Lag,5.958470329195698,0.03328403865795568,179.01885015902306,7.473098742769592e-120,5.8919591397741815,6.023947582863794,FALSE,other
A_1_Mu_0.3_Lag_6,FALSE,C,0.003882022789253552,0.00300313922919316,1.292654949699591,0.19933276770976155,-0.0020841585715751826,0.00983277689011314,FALSE,other
A_1_Mu_0.3_Lag_8,FALSE,A,1.0006817481999386,0.0028588025335645785,350.03528101404413,6.814400976273845e-147,0.9950049982133483,1.0063674029195961,FALSE,other
A_1_Mu_0.3_Lag_8,FALSE,Mu,0.29806130714688295,0.004833750067368171,61.66254005540013,3.1342452823254034e-77,0.2886079671060318,0.3080006027297042,FALSE,Mu_a
A_1_Mu_0.3_Lag_8,FALSE,Lag,7.9852470110374885,0.03187683920925536,250.50309908765962,2.1467304133957475e-133,7.921031379920182,8.048563360211759,FALSE,other
A_1_Mu_0.3_Lag_8,FALSE,C,-3.4117303115480287e-4,0.0025584590434373886,-0.13335098407376642,0.8942039377140324,-0.005427799259350734,0.0047371887746678176,FALSE,other
A_1_Mu_0.3_Lag_10,FALSE,A,0.9973046451863198,0.0026956076932764987,369.9739571428885,3.958212980626655e-149,0.991950555237427,NA,FALSE,other
A_1_Mu_0.3_Lag_10,FALSE,Mu,0.30637346327838316,0.005207061096639856,58.83807729394372,2.2031218174707406e-75,0.2962756866732117,0.31699533449965567,FALSE,Mu_a
A_1_Mu_0.3_Lag_10,FALSE,Lag,10.017414688268339,0.03192376133246616,313.79180491744637,1.7557214200323387e-142,9.95305465560713,10.08079595143128,FALSE,other
A_1_Mu_0.3_Lag_10,FALSE,C,0.002079612899421417,0.00234174461771373,0.888061355491345,0.37679882216300054,-0.002577659949326328,0.00673146264940054,FALSE,other
A_1_Mu_0.4_Lag_2,FALSE,A,1.0022432064117255,0.005299138022643056,189.13325188533884,4.56763656719419e-122,0.9917649880244732,1.0128266456116928,FALSE,other
A_1_Mu_0.4_Lag_2,FALSE,Mu,0.3927826654771353,0.007198110334724317,54.56746940684102,2.0025610447701477e-72,0.3787945599941412,0.4075718665958574,FALSE,Mu_a
A_1_Mu_0.4_Lag_2,FALSE,Lag,1.96493422092078,0.03082702496141286,63.740637423830194,1.5417816744372836e-78,1.9027815855555654,2.0257363419324568,FALSE,other
A_1_Mu_0.4_Lag_2,FALSE,C,-1.4656288076449328e-4,0.005151252774840029,-0.028451890670235017,0.9773627047129476,-0.010433685328297361,0.010036196629107604,FALSE,other
A_1_Mu_0.4_Lag_4,FALSE,A,0.9941366001274579,0.003234592740914904,307.3452146084599,1.2079933112041377e-141,0.9877179762895527,1.0005732328877806,FALSE,other
A_1_Mu_0.4_Lag_4,FALSE,Mu,0.39425932019917936,0.006287618915250322,62.70407375404417,6.844506533850529e-78,0.3821238863196511,0.40698434759712937,FALSE,Mu_a
A_1_Mu_0.4_Lag_4,FALSE,Lag,3.999106829715207,0.024306618554525004,164.52748541490234,1.8718799592300955e-116,3.9504190699867623,4.047064276079187,FALSE,other
A_1_Mu_0.4_Lag_4,FALSE,C,0.005302379507499597,0.003066902499236316,1.7289038398905519,0.08714463111811949,-8.020129174279237e-4,0.011389029741078922,FALSE,other
A_1_Mu_0.4_Lag_6,FALSE,A,1.0031793177169728,0.0030791065342193743,325.8020814051834,5.355256190376725e-144,0.9970708663691792,1.0092983265723703,FALSE,other
A_1_Mu_0.4_Lag_6,FALSE,Mu,0.39436550156556655,0.00705403386421981,55.90638054148102,2.244833772469633e-73,0.3805882719218576,0.4089103465254948,FALSE,Mu_a
A_1_Mu_0.4_Lag_6,FALSE,Lag,5.96350415196758,0.026710610858113666,223.26348819372265,9.412288388634823e-129,5.9098756941501955,6.016256347335517,FALSE,other
