well,term,estimate
A_1_Mu_0.6_Lag_10,Mu,0.504123087172608
A_1_Mu_0.6_Lag_10,A,1.0166643771570136
A_1_Mu_0.7_Lag_0,Lag,-0.13679640077754687
A_1_Mu_0.7_Lag_0,Mu,0.5870228423710009
A_1_Mu_0.7_Lag_0,A,1.017259216149153
A_1_Mu_0.7_Lag_2,Lag,0.49209961300044297
A_1_Mu_0.7_Lag_2,Mu,1.164915650315002
A_1_Mu_0.7_Lag_2,A,1.0184477950548299
A_1_Mu_0.7_Lag_4,Lag,0.4945651830922851
A_1_Mu_0.7_Lag_4,Mu,1.115563033862312
A_1_Mu_0.7_Lag_4,A,1.02154408263532
A_1_Mu_0.7_Lag_6,Lag,5.955658649277642
A_1_Mu_0.7_Lag_6,Mu,0.6472405018189881
A_1_Mu_0.7_Lag_6,A,1.012375565569428
A_1_Mu_0.7_Lag_8,Lag,7.955250837670465
A_1_Mu_0.7_Lag_8,Mu,0.6324959580791761
A_1_Mu_0.7_Lag_8,A,1.0131619062339505
A_1_Mu_0.7_Lag_10,Lag,9.971959350593558
A_1_Mu_0.7_Lag_10,Mu,0.6641394854153939
A_1_Mu_0.7_Lag_10,A,1.015609829596011
A_1_Mu_0.8_Lag_0,Lag,0.051399698104030195
A_1_Mu_0.8_Lag_0,Mu,0.9257143977301006
A_1_Mu_0.8_Lag_0,A,1.0258284111844411
A_1_Mu_0.8_Lag_2,Lag,1.8984657714506061
A_1_Mu_0.8_Lag_2,Mu,0.6665713251511773
A_1_Mu_0.8_Lag_2,A,1.0184603871797915
A_1_Mu_0.8_Lag_4,Lag,3.9411669558720717
A_1_Mu_0.8_Lag_4,Mu,0.695741475311483
A_1_Mu_0.8_Lag_4,A,1.0226684604935237
A_1_Mu_0.8_Lag_6,Lag,5.914367670393513
A_1_Mu_0.8_Lag_6,Mu,0.6855214404791073
A_1_Mu_0.8_Lag_6,A,1.0115787508716363
A_1_Mu_0.8_Lag_8,Lag,7.956344638671703
A_1_Mu_0.8_Lag_8,Mu,0.7246676774609186
A_1_Mu_0.8_Lag_8,A,1.0178081436537527
A_1_Mu_0.8_Lag_10,Lag,9.99579922424411
A_1_Mu_0.8_Lag_10,Mu,0.7589621430070843
A_1_Mu_0.8_Lag_10,A,1.0193482675323535
A_1_Mu_0.9_Lag_0,Lag,-0.11320993570270398
A_1_Mu_0.9_Lag_0,Mu,0.7634548639587809
A_1_Mu_0.9_Lag_0,A,1.014604986384813
A_1_Mu_0.9_Lag_2,Lag,1.9581392215224027
A_1_Mu_0.9_Lag_2,Mu,0.8175733895596234
A_1_Mu_0.9_Lag_2,A,1.018265424510339
A_1_Mu_0.9_Lag_4,Lag,3.938754381905506
A_1_Mu_0.9_Lag_4,Mu,0.787496919518497
A_1_Mu_0.9_Lag_4,A,1.0336566049050837
A_1_Mu_0.9_Lag_6,Lag,5.876110654514077
A_1_Mu_0.9_Lag_6,Mu,0.6943233253324537
A_1_Mu_0.9_Lag_6,A,1.0194131683247372
A_1_Mu_0.9_Lag_8,Lag,7.9132435073306135
A_1_Mu_0.9_Lag_8,Mu,0.6942165659267633
A_1_Mu_0.9_Lag_8,A,1.014148286741296
A_1_Mu_0.9_Lag_10,Lag,9.831551092766095
A_1_Mu_0.9_Lag_10,Mu,0.6311879734562683
A_1_Mu_0.9_Lag_10,A,1.0089161962905684
A_1_Mu_1_Lag_0,Lag,-0.07418706893902074
A_1_Mu_1_Lag_0,Mu,0.9400714612423883
A_1_Mu_1_Lag_0,A,1.013391553127707
A_1_Mu_1_Lag_2,Lag,0.4969049727179154
A_1_Mu_1_Lag_2,Mu,2.8893656762001623
A_1_Mu_1_Lag_2,A,1.0125318139937354
A_1_Mu_1_Lag_4,Lag,3.9458862714983094
A_1_Mu_1_Lag_4,Mu,0.8373234264725913
A_1_Mu_1_Lag_4,A,1.0195474505579398
A_1_Mu_1_Lag_6,Lag,5.93872630216957
A_1_Mu_1_Lag_6,Mu,0.886857093491362
A_1_Mu_1_Lag_6,A,1.0222373331959222
A_1_Mu_1_Lag_8,Lag,7.873744604176924
A_1_Mu_1_Lag_8,Mu,0.772114355624655
A_1_Mu_1_Lag_8,A,1.0165985926248104
A_1_Mu_1_Lag_10,Lag,9.8241124260478
A_1_Mu_1_Lag_10,Mu,0.6990071545490011
A_1_Mu_1_Lag_10,A,1.0121738281453592
A_2_Mu_0.1_Lag_0,Lag,-0.050503282350419634
A_2_Mu_0.1_Lag_0,Mu,0.099633722830563
A_2_Mu_0.1_Lag_0,A,1.9996380430034215
A_2_Mu_0.1_Lag_2,Lag,2.1945192509499267
A_2_Mu_0.1_Lag_2,Mu,0.10281904269420657
A_2_Mu_0.1_Lag_2,A,1.9911064834373904
A_2_Mu_0.1_Lag_4,Lag,3.9705759304736943
A_2_Mu_0.1_Lag_4,Mu,0.09900805820826138
A_2_Mu_0.1_Lag_4,A,1.975528668358815
A_2_Mu_0.1_Lag_6,Lag,6.085430269394851
A_2_Mu_0.1_Lag_6,Mu,0.10101621822174968
A_2_Mu_0.1_Lag_6,A,1.9784070001741536
A_2_Mu_0.1_Lag_8,Lag,7.964810660276457
A_2_Mu_0.1_Lag_8,Mu,0.09936123844549989
A_2_Mu_0.1_Lag_8,A,1.9790145401180468
A_2_Mu_0.1_Lag_10,Lag,10.14127816067166
A_2_Mu_0.1_Lag_10,Mu,0.10184428917944166
A_2_Mu_0.1_Lag_10,A,1.9695671687219987
A_2_Mu_0.2_Lag_0,Lag,-0.13812631820357996
A_2_Mu_0.2_Lag_0,Mu,0.1931461110672681
A_2_Mu_0.2_Lag_0,A,2.0034011863129244
A_2_Mu_0.2_Lag_2,Lag,1.911751820937689
A_2_Mu_0.2_Lag_2,Mu,0.1960779710509133
A_2_Mu_0.2_Lag_2,A,2.0100437448497743
A_2_Mu_0.2_Lag_4,Lag,3.9681876239409593
A_2_Mu_0.2_Lag_4,Mu,0.19880144647148357
A_2_Mu_0.2_Lag_4,A,2.0046581267490757
A_2_Mu_0.2_Lag_6,Lag,6.056318577438531
A_2_Mu_0.2_Lag_6,Mu,0.2020118397553704
A_2_Mu_0.2_Lag_6,A,2.0086435211908524
A_2_Mu_0.2_Lag_8,Lag,7.902506003259022
A_2_Mu_0.2_Lag_8,Mu,0.19535611397840796
A_2_Mu_0.2_Lag_8,A,2.0036217434193744
A_2_Mu_0.2_Lag_10,Lag,9.930491948135334
A_2_Mu_0.2_Lag_10,Mu,0.19656205629903878
A_2_Mu_0.2_Lag_10,A,2.0081598766639113
A_2_Mu_0.3_Lag_0,Lag,-0.09341424393550586
A_2_Mu_0.3_Lag_0,Mu,0.29081808786923363
A_2_Mu_0.3_Lag_0,A,2.0063020082500915
A_2_Mu_0.3_Lag_2,Lag,1.930211499013524
